date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:48:54	29379/29379	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2007:50:44%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/menu-detail.html	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/menu-detail.html	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:48:54	26394/26394	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2007:50:42%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/chef.html	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/chef.html	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:48:54	24288/24288	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2007:50:44%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/reservation.html	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/reservation.html	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:48:55	28155/28155	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2007:50:44%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/gallery-1-column.html	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/gallery-1-column.html	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:48:55	28213/28213	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2007:50:44%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/gallery-2-columns.html	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/gallery-2-columns.html	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:48:55	23149/23149	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2007:50:44%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/user-profile.html	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/user-profile.html	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:48:56	24205/24205	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2007:50:42%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/edit-profile.html	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/edit-profile.html	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:48:56	21921/21921	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2007:50:44%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/forget-password.html	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/forget-password.html	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:48:56	22481/22481	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2007:50:44%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/reset-password.html	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/reset-password.html	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:48:57	24009/24009	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2007:50:44%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/shopping-cart.html	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/shopping-cart.html	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:48:57	27140/27140	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2007:50:42%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/checkout.html	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/checkout.html	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:48:57	28943/28943	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2007:50:44%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/order-history.html	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/order-history.html	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:48:58	21444/21444	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2007:50:44%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/feature-header-1.html	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/feature-header-1.html	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:48:58	22218/22218	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2007:50:44%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/feature-header-2.html	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/feature-header-2.html	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:48:58	23004/23004	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2007:50:44%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/feature-header-3.html	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/feature-header-3.html	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:48:59	21448/21448	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2007:50:44%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/feature-page-cover-1.html	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/feature-page-cover-1.html	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:48:59	21519/21519	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2007:50:44%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/feature-page-cover-2.html	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/feature-page-cover-2.html	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:48:59	21574/21574	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2007:50:44%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/feature-page-cover-3.html	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/feature-page-cover-3.html	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:49:00	21535/21535	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2007:50:44%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/feature-footer-1.html	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/feature-footer-1.html	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:49:00	21321/21321	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2007:50:44%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/feature-footer-2.html	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/feature-footer-2.html	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:49:00	21060/21060	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2007:50:44%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/feature-footer-3.html	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/feature-footer-3.html	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:49:01	21306/21306	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2007:56:58%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/about.html	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/about.html	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:49:01	23244/23244	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2007:50:44%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/services.html	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/services.html	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:49:01	28036/28036	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2007:50:44%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/testimonials.html	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/testimonials.html	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:49:02	20956/20956	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2007:50:42%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/error-page.html	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/error-page.html	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:49:02	21588/21588	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2007:50:42%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/coming-soon.html	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/coming-soon.html	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:49:02	25586/25586	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2007:50:42%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/blog.html	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/blog.html	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:49:03	25471/25471	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2007:50:42%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/blog-detail.html	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/blog-detail.html	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:49:03	24950/24950	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2007:50:44%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/pricing.html	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/pricing.html	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:49:03	27892/27892	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2007:50:44%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/faq.html	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/faq.html	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:49:04	22544/22544	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2007:50:42%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/contact.html	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/contact.html	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:49:04	22952/22952	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2007:50:44%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/login.html	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/login.html	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:49:04	23114/23114	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2007:50:44%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/register.html	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/register.html	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:49:10	5269/5269	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Jul%202017%2007:58:52%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/images/user-profile.jpg	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/images/user-profile.jpg	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:49:13	88529/88529	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Feb%202018%2004:23:36%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/images/dish-breakfast-3.png	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/images/dish-breakfast-3.png	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:49:16	51076/51076	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20Feb%202018%2009:53:18%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/images/usr-prf-back-restaurant.jpg	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/images/usr-prf-back-restaurant.jpg	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:49:18	51076/51076	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20Feb%202018%2009:53:16%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/images/restaurant-slider-1.jpg	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/images/restaurant-slider-1.jpg	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:49:22	51076/51076	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20Feb%202018%2009:53:16%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/images/restaurant-slider-2.jpg	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/images/restaurant-slider-2.jpg	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:49:22	105345/105345	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Jan%202018%2010:20:16%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/images/dish-dinner-4.png	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/images/dish-dinner-4.png	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:49:29	86959/86959	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Feb%202018%2005:00:24%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/images/dish-breakfast-1.png	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/images/dish-breakfast-1.png	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:49:32	90345/90345	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Feb%202018%2004:59:56%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/images/dish-breakfast-2.png	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/images/dish-breakfast-2.png	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:49:40	104154/104154	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Feb%202018%2004:23:18%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/images/dish-breakfast-5.png	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/images/dish-breakfast-5.png	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:49:40	115150/115150	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Feb%202018%2004:23:20%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/images/dish-breakfast-4.png	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/images/dish-breakfast-4.png	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:49:43	87878/87878	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Feb%202018%2005:01:16%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/images/dish-breakfast-6.png	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/images/dish-breakfast-6.png	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:49:48	105345/105345	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Jan%202018%2010:20:16%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/images/dish-lunch-1.png	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/images/dish-lunch-1.png	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:49:55	91632/91632	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Jan%202018%2010:05:58%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/images/dish-lunch-2.png	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/images/dish-lunch-2.png	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:49:57	95859/95859	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Jan%202018%2010:19:06%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/images/dish-lunch-3.png	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/images/dish-lunch-3.png	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:49:59	8092/8092	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Jul%202017%2009:49:22%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/images/reviewer-1.jpg	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/images/reviewer-1.jpg	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
18:50:00	4871/4871	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Jul%202017%2008:01:44%20GMT	http://kiswa.net/themes/star-restaurant/orange-restaurant/images/reviewer-2.jpg	E:/xampp1/htdocs/test/test/test/kiswa.net/themes/star-restaurant/orange-restaurant/images/reviewer-2.jpg	(from http://kiswa.net/themes/star-restaurant/orange-restaurant/restaurant.html)
